TicketID,OrderID,StartTime,EndTime,TicketAgeID,TicketTypeID,RegisterName,
054A3203-3EB0-4977-8BE3-C9F4276372B2,F9C4EEEF-09D5-47C9-AAF3-17ACF6C13F72,2023-08-05 21:18:13,2023-08-06 21:18:13,1,2,MaryJon Wang,
C824446D-7756-4D26-8387-D5ADEEBA228B,A2D6E8DB-A976-4D4A-8F04-AC3ECCB5287F,2023-12-07 01:52:21,2023-12-08 01:52:21,1,2,MaryJon Wang,
BDE43247-B354-4759-AD8D-9C775D407093,35333919-F0C4-4744-A211-B96FD7F6EDB7,2023-12-12 01:53:49,2023-12-13 01:53:49,4,3,,
C8FEC4AE-6612-4B6A-84FF-DFFC2E803533,765926A5-E699-4BB3-AD4A-57D6CD7325BF,2023-12-14 22:37:35,2023-12-15 22:37:35,1,2,JohnOtg Kumar,
4B47FB21-C320-40F7-9CA5-7D24FA5FC8F4,2BBD1C34-6AB3-4191-8741-3C9667970444,2023-06-09 06:29:37,2023-06-10 06:29:37,1,2,JohnOtg Kumar,
D629FC2F-A756-40D1-B0BE-01F4885DDB48,9F7CAEA7-BF82-43E1-90FC-45E0FFB490D9,2023-04-11 17:47:27,2023-04-12 17:47:27,1,3,,
31B49ACE-1331-4A09-B46D-6954E0C0F204,49D6F976-8223-4DF9-A95C-1AAC60475C4B,2023-01-09 12:48:47,2023-01-10 12:48:47,1,1,IRrz Johnson,
75198BBD-3C6E-4ADB-B49D-3D81DD930464,DDBAEF70-8BF0-4774-912C-CF5FB9D54D68,2023-05-25 16:52:22,2023-05-26 16:52:22,4,2,IRrz Johnson,
7F81DCC5-00C9-428B-AA3C-75ED855FA721,F5012FC8-6B52-45A9-9A16-AC873551BEB1,2023-04-28 05:53:37,2023-04-29 05:53:37,1,3,,
6FCE647C-8B36-4460-B727-EE01D5026446,3DB7BD20-631A-4743-ACD0-4CE38211F63E,2023-07-07 14:02:00,2023-07-08 14:02:00,1,2,JaneUox Lee,
